"Group.1","x"
2012-07-05,6.61341844488063
2012-07-06,6.57091923787389
2012-07-07,6.63966033700597
2012-07-08,6.67601532251868
2012-07-09,6.83928829759556
2012-07-10,7.0586863943466
2012-07-11,7.11363734401535
2012-07-12,7.21668404570201
2012-07-13,7.59219186798007
2012-07-14,7.5373483559316
2012-07-15,7.51767353786229
2012-07-16,7.8337347689134
2012-07-17,8.31068764094896
2012-07-18,8.89158575627479
2012-07-19,8.89302182554924
2012-07-20,8.28797586369833
2012-07-21,8.7700033046832
2012-07-22,8.62177575089257
2012-07-23,8.66955987782
2012-07-24,8.59543597530153
2012-07-25,8.49716211391514
2012-07-26,8.62802637821854
2012-07-27,8.84130239174201
2012-07-28,8.85089626293903
2012-07-29,8.70698410579667
2012-07-30,8.83065444518069
2012-07-31,9.22085904409535
