"Group.1","x"
2015-10-13,248.385152670514
2015-10-14,251.937785698625
2015-10-15,254.471838234333
2015-10-16,261.105362087194
2015-10-17,269.0899604335
2015-10-18,264.258171367771
2015-10-19,263.254562177583
2015-10-20,268.202030426972
2015-10-21,268.027020922979
2015-10-22,273.692224175229
2015-10-23,277.910629441479
2015-10-24,281.022419305174
2015-10-25,289.641632314201
2015-10-26,285.545783605222
2015-10-27,293.917939817069
2015-10-28,302.454952540799
2015-10-29,312.312035994333
2015-10-30,326.736841132014
2015-10-31,318.765506175333
2015-11-01,318.51056978094
2015-11-02,345.871421929653
2015-11-03,396.19236192325
2015-11-04,448.122121882563
2015-11-05,389.287166450437
2015-11-06,374.800186588271
2015-11-07,385.870897046868
2015-11-08,378.716031108292
2015-11-09,376.716056612014
2015-11-10,353.297313083465
